Area,Demand,Supply,Date,,,
Dhaka,4031.36,4031.36,12/30/24,,,
Chittagong ,1035.9,1035.9,12/30/24,,,
Khulna ,1205,1205,12/30/24,,,
Rajshahi ,967,967,12/30/24,,,
Comilla,879,879,12/30/24,,,
Mymensingh,855,855,12/30/24,,,
Sylhet ,360,360,12/30/24,,,
Barisal ,293,293,12/30/24,,,
Rangpur ,706,706,12/30/24,,,
Dhaka,3891.37,3891.37,12/29/24,,,
Chittagong ,961,961,12/29/24,,,
Khulna ,1149.5,1149.5,12/29/24,,,
Rajshahi ,965.2,965.2,12/29/24,,,
Comilla,884,884,12/29/24,,,
Mymensingh,829,829,12/29/24,,,
Sylhet ,348,348,12/29/24,,,
Barisal ,292.7,292.7,12/29/24,,,
Rangpur ,643,643,12/29/24,,,
Dhaka,3798.25,3798.25,12/28/24,,,
Chittagong ,1013.5,1013.5,12/28/24,,,
Khulna ,1170,1170,12/28/24,,,
Rajshahi ,948.6,948.6,12/28/24,,,
Comilla,891,891,12/28/24,,,
Mymensingh,838,838,12/28/24,,,
Sylhet ,364,364,12/28/24,,,
Barisal ,298.5,298.5,12/28/24,,,
Rangpur ,688,688,12/28/24,,,
Dhaka,3012.99,3012.99,12/27/24,,,
Chittagong ,867.9,867.9,12/27/24,,,
Khulna ,1073.6,1073.6,12/27/24,,,
Rajshahi ,880,880,12/27/24,,,
Comilla,789,789,12/27/24,,,
Mymensingh,750,750,12/27/24,,,
Sylhet ,336,336,12/27/24,,,
Barisal ,282.6,282.6,12/27/24,,,
Rangpur ,627,627,12/27/24,,,
Dhaka,3957.74,3957.74,12/26/24,,,
Chittagong ,1068,1068,12/26/24,,,
Khulna ,1173,1173,12/26/24,,,
Rajshahi ,963.8,963.8,12/26/24,,,
Comilla,889,889,12/26/24,,,
Mymensingh,863,863,12/26/24,,,
Sylhet ,352,352,12/26/24,,,
Barisal ,297.2,297.2,12/26/24,,,
Rangpur ,707,707,12/26/24,,,
Dhaka,3885.89,3885.89,12/25/24,,,
Chittagong ,994,994,12/25/24,,,
Khulna ,1150,1150,12/25/24,,,
Rajshahi ,961.4,961.4,12/25/24,,,
Comilla,882,882,12/25/24,,,
Mymensingh,864,864,12/25/24,,,
Sylhet ,365,365,12/25/24,,,
Barisal ,288.7,288.7,12/25/24,,,
Rangpur ,710,710,12/25/24,,,
Dhaka,3890.99,3890.99,12/24/24,,,
Chittagong ,1064,1064,12/24/24,,,
Khulna ,1184,1184,12/24/24,,,
Rajshahi ,964.8,964.8,12/24/24,,,
Comilla,913,913,12/24/24,,,
Mymensingh,869,869,12/24/24,,,
Sylhet ,364,364,12/24/24,,,
Barisal ,296.1,296.1,12/24/24,,,
Rangpur ,717,717,12/24/24,,,
Dhaka,4003.87,4003.87,12/23/24,,,
Chittagong ,1013.6,1013.6,12/23/24,,,
Khulna ,1160.1,1160.1,12/23/24,,,
Rajshahi ,970.6,970.6,12/23/24,,,
Comilla,855,855,12/23/24,,,
Mymensingh,873,873,12/23/24,,,
Sylhet ,367,367,12/23/24,,,
Barisal ,304,304,12/23/24,,,
Rangpur ,726,726,12/23/24,,,
Dhaka,3971.9,3971.9,12/22/24,,,
Chittagong ,982.4,982.4,12/22/24,,,
Khulna ,1188.4,1188.4,12/22/24,,,
Rajshahi ,978,978,12/22/24,,,
Comilla,873,873,12/22/24,,,
Mymensingh,841,841,12/22/24,,,
Sylhet ,358,358,12/22/24,,,
Barisal ,289.5,289.5,12/22/24,,,
Rangpur ,730,730,12/22/24,,,
Dhaka,3739.28,3739.28,12/21/24,,,
Chittagong ,948,948,12/21/24,,,
Khulna ,1112,1112,12/21/24,,,
Rajshahi ,968,968,12/21/24,,,
Comilla,889,889,12/21/24,,,
Mymensingh,853,853,12/21/24,,,
Sylhet ,359,359,12/21/24,,,
Barisal ,322.5,322.5,12/21/24,,,
Rangpur ,649,649,12/21/24,,,
Dhaka,3078.85,3078.85,12/20/24,,,
Chittagong ,960.4,960.4,12/20/24,,,
Khulna ,1047,1047,12/20/24,,,
Rajshahi ,968,968,12/20/24,,,
Comilla,799,799,12/20/24,,,
Mymensingh,778,778,12/20/24,,,
Sylhet ,336,336,12/20/24,,,
Barisal ,276.5,276.5,12/20/24,,,
Rangpur ,622,622,12/20/24,,,
Dhaka,3930.17,3930.17,12/19/24,,,
Chittagong ,1063.2,1063.2,12/19/24,,,
Khulna ,1172,1172,12/19/24,,,
Rajshahi ,992.8,992.8,12/19/24,,,
Comilla,849,849,12/19/24,,,
Mymensingh,855,855,12/19/24,,,
Sylhet ,369,369,12/19/24,,,
Barisal ,294.5,294.5,12/19/24,,,
Rangpur ,709,709,12/19/24,,,
Dhaka,3757.83,3757.83,12/18/24,,,
Chittagong ,1064.5,1064.5,12/18/24,,,
Khulna ,1126.3,1126.3,12/18/24,,,
Rajshahi ,960.8,960.8,12/18/24,,,
Comilla,853,853,12/18/24,,,
Mymensingh,813,813,12/18/24,,,
Sylhet ,372,372,12/18/24,,,
Barisal ,289.5,289.5,12/18/24,,,
Rangpur ,657,657,12/18/24,,,
Dhaka,3647.58,3647.58,12/17/24,,,
Chittagong ,1110,1110,12/17/24,,,
Khulna ,1138,1138,12/17/24,,,
Rajshahi ,971.6,971.6,12/17/24,,,
Comilla,859,859,12/17/24,,,
Mymensingh,835,835,12/17/24,,,
Sylhet ,370,370,12/17/24,,,
Barisal ,300,300,12/17/24,,,
Rangpur ,665,665,12/17/24,,,
Dhaka,2704.03,2704.03,12/16/24,,,
Chittagong ,824.5,824.5,12/16/24,,,
Khulna ,1105,1105,12/16/24,,,
Rajshahi ,932.2,932.2,12/16/24,,,
Comilla,796,796,12/16/24,,,
Mymensingh,801,801,12/16/24,,,
Sylhet ,341,341,12/16/24,,,
Barisal ,278.1,278.1,12/16/24,,,
Rangpur ,691,691,12/16/24,,,
Dhaka,3808.25,3808.25,12/15/24,,,
Chittagong ,1021,1021,12/15/24,,,
Khulna ,1166,1166,12/15/24,,,
Rajshahi ,1001,1001,12/15/24,,,
Comilla,863,863,12/15/24,,,
Mymensingh,851,851,12/15/24,,,
Sylhet ,357,357,12/15/24,,,
Barisal ,277,277,12/15/24,,,
Rangpur ,748,748,12/15/24,,,
