date,plant_name,electricity_gen,fuel_cost
2024-02-19,Ghorasal TPP (Unit-1&2),0.0,0.0
2024-02-19,Ghorasal Repowered CCPP:Unit-3 (GT,0.0,0.0
2024-02-19,Ghorasal Repowered CCPP Unit-4,3971000.0,17035590.0
2024-02-19,Ghorasal TPP Unit-5,0.0,0.0
2024-02-19,Ghorasal 365 MW CCPP Unit-7,0.0,0.0
2024-02-19,Ghorashal 108 MW PP (Regent),184000.0,702880.0
2024-02-19,Ghorashal 78.5 MW PP(MAX),0.0,0.0
2024-02-19,Haripur  412 MW CCPP,6490800.0,18693504.0
2024-02-19,Haripur 360 MW CCPP(HPL),0.0,0.0
2024-02-19,Plant Removed,,
2024-02-19,Haripur GTPP,0.0,0.0
2024-02-19,Meghnaghat 450 MW CCPP(MPL),0.0,0.0
2024-02-19,Meghnaghat CCPP(Summit),0.0,0.0
2024-02-19,Meghnaghat 100 MW(IEL),336000.0,6501600.000000001
2024-02-19,Madanganj 102 PP(Summit),1043056.0,21758148.16
2024-02-19,Madanganj-55 MW PP(Summit),230326.0,3959303.9400000004
2024-02-19,Siddhirganj 335 MW CCPP,7501767.0,22880389.349999998
2024-02-19,210 MW Siddhirgonj TPP,0.0,0.0
2024-02-19,Siddhirgonj 2*120 MW GTPP ,281000.0,1503350.0
2024-02-19,Siddhirganj 100 PP(Dutch Bangla),300480.0,5790249.6
2024-02-19,Gagnagar 102 MW PP (Digital Power),592560.0,11021616.0
2024-02-19,Kodda 150 MW PP,1538880.0,28346169.6
2024-02-19,Keraniganj 100 MW PP (Powerpac),495104.0,8986137.6
2024-02-19,Bosila 108 MW PP(CLC),0.0,0.0
2024-02-19,Pagla (DPA ),0.0,0.0
2024-02-19,Katpotti 52 MW PP (Sinha),0.0,0.0
2024-02-19,Kamalaghat 54 MW PP(Banco Energy),38880.0,709948.8
2024-02-19,Manikganj 55 MW PP (Northern),39929.0,638464.71
2024-02-19,Nababganj 55 MW PP (Southern power ),39536.0,723113.44
2024-02-19,Narshingdi 22 MW PP  (Doreen),0.0,0.0
2024-02-19,Summit Ashulia,456000.0,342000.0
2024-02-19,Summit Madhabdi,524160.0,0.0
2024-02-19,Maona 33 MW PP(Summit),730100.0,0.0
2024-02-19,Rupganj 33 MW PP(Summit) ,452400.0,0.0
2024-02-19,Gazipur 52 MW PP,196320.0,3516091.2
2024-02-19,Tongi 80 MW GTPP,0.0,0.0
2024-02-19,"Karnaphuli Hydro PP Unit-1, 2 & 3",949020.0,0.0
2024-02-19,Karnaphuli Hydro PP Unit-4 & 5,0.0,0.0
2024-02-19,Chattogram TPP-1 ,0.0,0.0
2024-02-19,Chattogram TPP-2,0.0,0.0
2024-02-19,Raozan 25 MW PP,136346.0,2582393.24
2024-02-19,Sikalbaha 225MW CCPP (Gas),5008992.0,15978684.48
2024-02-19,Sikalbaha 225MW CCPP(Oil),0.0,0.0
2024-02-19,Sikalbaha 150MW GTPP,0.0,0.0
2024-02-19,Sikalbaha 150MW GTPP(Oil),0.0,0.0
2024-02-19,Plant Removed,,
2024-02-19,Tangail Palli Power Gen 22 MW,40080.0,703804.7999999999
2024-02-19,Hathazari 100 MW peaking PP,809856.0,14261564.16
2024-02-19,Dohazari -Kalaish 100 MW Peaking,889060.0,15923064.6
2024-02-19,Juldah 100 MW Unit-1 (Acorn),353880.0,6557396.4
