Name of the Power Station,Fuel,Producer ,     Installed Capacity,, Capacity,"for Fuel
",for plant. S/D,Shut down (date)/,Start up,Area,,,
ghorasalrepowered3gt,Gas,PDB,1*260,260,260,,260,Under maint.,,Dhaka,,,
ghorasalrepowered4,Gas,PDB,1*210,210,180,,,,,Dhaka,,,
ghorasal5,Gas,PDB,1*210,210,190,,190,Under maint.,,Dhaka,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,,365,Air Compressor problem,,Dhaka,,,
ghorashal785max,Gas,QRPP,2*40,0,0,,,Contract Expired,,Dhaka,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,96,,Gas shortage,,Dhaka,,,
haripurg,Gas,"SBU, PDB",2*32,32,20,,20,Under maint.,,Dhaka,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,,412,Under maint.,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,0,,,Contract Expired,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,,,Line S/D,,Dhaka,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,25,,Fuel shortage,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,335,335,335,,Gas shortage,,Dhaka,,,
madanganj102summit,HFO,NENP,6*17,102,102,,22,Fuel shortage,,Dhaka,,,
madanganj55summit,HFO,IPP,3*17.08+1*11.3,55,55,40,,Fuel shortage,,Dhaka,,,
keraniganj100powerpac,HFO,NENP,8*13.45,100,75,39,,Fuel shortage,,Dhaka,,,
narshingdi22doreen,Gas,"SIPP, REB",8*2.90,22,22,,,Contract Expired,,Dhaka,,,
210siddhirgonj,Gas,PDB, 1*210,210,115,,115,Under maint.,,Dhaka,,,
siddhirgonj2120g,Gas,EGCB, 2*105,210,210,105,,Gas shortage,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,40,,Fuel shortage,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,,,,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,,20,Engine problem,,Dhaka,,,
katpotti52sinha,HFO,IPP,7*7.9,51,0,51,,Fuel shortage,,Dhaka,,,
kamalaghat54bancoenergy,HFO,IPP,3*18,54,54,54,,Fuel shortage,,Dhaka,,,
kodda150,HFO,BPDB-RPCL,9*17.06,149,149,,,,,Dhaka,,,
manikganj55northern,HFO,IPP,3*19.3,55,55,38,,Fuel shortage,,Dhaka,,,
nababganj55southernpower,HFO,IPP,3*19.3,55,55,38,,Fuel shortage,,Dhaka,,,
bosila108clc,HFO,IPP,12*8.775+1*3.5,108,0,,,,,Dhaka,,,
summitpowermadhabdiashulia,Gas,"SIPP,REB",3*3.67+4*8.73,80,80,,39,Engine problem,,Dhaka,,,
maona33summit,Gas,"SIPP,REB",4*8.73,33,33,,,,,Dhaka,,,
rupganj33summit,Gas,"SIPP,REB",4*8.73,33,33,,,,,Dhaka,,,
gazipur52,HFO,RPCL,6*8.9,52,52,35,,Fuel shortage,,Dhaka,,,
tongi80g,Gas,PDB,1* 105,105,105,105,,Gas shortage,,Dhaka,,,
kodda3002summit,HFO,IPP,18*17.076,300,300,170,,Fuel shortage,,Dhaka,,,
bramhangoan100aggreko,HSD,IPP,114*0.959,0,0,,,Contract Expired,,Dhaka,,,
aurahati100aggreko,HSD,IPP,0.85*23+0.95*91,0,0,,,Contract Expired,,Dhaka,,,
kodda1491summit,HFO,IPP,8*18.45+8.97,149,149,132,,Fuel shortage,,Dhaka,,,
gazipur100,HFO,RPCL,6*17.5,105,105,,,,,Dhaka,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,87,,Fuel shortage,,Dhaka,,,
manikgonj162mpgl,HFO,IPP,9*18,162,162,127,,Fuel shortage,,Dhaka,,,
spectrasolarplant,Solar,IPP,35,35,35,,,,,Dhaka,,,
kanchanpurbachalpowergeneration,HFO,IPP,18.4*3,55,55,38,,Fuel shortage,,Dhaka,,,
meghnaghatuniquepower,Gas,IPP,586,0,0,,,on test,,Dhaka,,,
summitmeghanghat2589,Gas,IPP,589,0,0,,,on test,,Dhaka,,,
chattogram1,Gas,PDB,1*210,210,180,180,,Gas shortage,,Chattogram,,,
chattogram2,Gas,PDB,1*210,210,180,,180,Under maint,,Chattogram,,,
raozan25,HFO,RPCL,3*8.9,25,25,8,,Fuel shortage,,Chattogram,,,
teknaf20solartech,Solar,IPP,20,20,20,,,,,Chattogram,,,
patenga50baraka,HFO,IPP,8*6.98,50,50,31,,Fuel shortage,,Chattogram,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,190,,Low water lavel,,Chattogram,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*75,225,225,,,,,Chattogram,,,
sikalbahapeakinggt,Gas/HSD,PDB,1*150 ,150,150,,150,Under maint,,Chattogram,,,
sikalbaha105barakasikalbaha,HFO,IPP,6*17.5,105,105,88,,Fuel shortage,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,48,,Fuel shortage,,Chattogram,,,
dohazarikalaish100peaking,HFO,PDB,6*17,102,102,34,,Fuel shortage,,Chattogram,,,
juldah1001acorn,HFO,NENP,8*13.45,100,100,75,,Fuel shortage,,Chattogram,,,
juldah1003acorn,HFO,IPP,8*13.5,100,100,75,,Fuel shortage,,Chattogram,,,
barabkunda22regent,Gas,"SIPP, PDB",8*2.90,22,22,,,Engine problem,,Chattogram,,,
malanchactgepzed,Gas,,5*8.73+3*9.34,,0,,,,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,108,,Fuel shortage,,Chattogram,,,
kaptai7solar,Solar,PDB,7.4 MW,7,7,,,,,Chattogram,,,
anwara300ed,HFO,IPP,17*17+24,300,300,180,,Fuel shortage,,Chattogram,,,
jodiacpower,HFO,IPP,3*18.55+1*3.6,54,54,54,,Fuel shortage,,Chattogram,,,
karnaphulipower,HFO,IPP,18.415*6+6.5,110,110,93,,Fuel shortage,,Chattogram,,,
juldah2acorn,HFO,IPP,8*13.6,100,100,75,,Fuel shortage,,Chattogram,,,
anlimaenergy,HFO,IPP,6*21.2,116,116,99,,Fuel shortage,,Chattogram,,,
